Inventory Report,,,,,,,,,,,,,,,,,Date:  6/4/26  12:42 PM EST   ,,
Inventory Date:  ,,1/1/00 to 5/31/26,,,,,,,,,,,,,,,,,
Account:  ,,Gould,,,,,,,,,,,,,,,,,
Plant:  ,,Madelia,,,,,,,,,,,,,,,,,
Paper Type:  ,,Rolls - All Paper Types,,,,,,,,,,,,,,,,,
Supplier:  ,,All Suppliers,,,,,,,,,,,,,,,,,
Definitions:  ,,Available: Not assigned;  Applied: Assigned but not consumed;  Rejected: Rejected but in plant;  WIP: Work In Process,,,,,,,,,,,,,,,,,
Sorted by:  ,,Printer and Stock Size,,,,,,,,,,,,,,,,,
Ownership,Printer,Plant,Received Date,Issue Date,End User PO#,Supplier,PO Number,Paper Type,Product Name,Grammage (g/m²),Roll Width,Roll ID,Roll Count,Available Quantity,Total Quantity,Price/mt,Cost,Net Price/mt,Net Cost
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,318.00 mm,IEP56E0221453,1,187,187,$759.73,$142.07,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,318.00 mm,IEP56E0221353,1,187,187,$759.73,$142.07,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,318.00 mm,IEP56E0221253,1,186,186,$759.73,$141.31,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,318.00 mm,IEP56E0221159,1,187,187,$759.73,$142.07,$0.00,$0.00
Quantity Subtotals: ,,,,,,,,,,,,,9,"1,699","1,699",,"$1,290.79",,$0.00
,,,,,,,,,,,,,,,,,,,
Supplier,Ogden Newspapers,Madelia,12/30/25,,,OVOL USA,063000332025121,Newsprint,Kap Paper Newsprint,48.8 ,343.00 mm,M345M15011G,1,194,194,$599.31,$116.27,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,12/30/25,,,OVOL USA,063000332025121,Newsprint,Kap Paper Newsprint,48.8 ,343.00 mm,M345M15011F,1,194,194,$599.31,$116.27,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,12/30/25,,,OVOL USA,063000332025121,Newsprint,Kap Paper Newsprint,48.8 ,343.00 mm,M345L30033D,1,191,191,$599.31,$114.47,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,12/30/25,,,OVOL USA,063000332025121,Newsprint,Kap Paper Newsprint,48.8 ,343.00 mm,M345L30033C,1,192,192,$599.31,$115.07,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,12/30/25,,,OVOL USA,063000332025121,Newsprint,Kap Paper Newsprint,48.8 ,343.00 mm,M345L30032D,1,194,194,$599.31,$116.27,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,12/30/25,,,OVOL USA,063000332025121,Newsprint,Kap Paper Newsprint,48.8 ,343.00 mm,M345L30032C,1,193,193,$599.31,$115.67,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,12/30/25,,,OVOL USA,063000332025121,Newsprint,Kap Paper Newsprint,48.8 ,343.00 mm,M345L30022F,1,187,187,$599.31,$112.07,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,12/30/25,,,OVOL USA,063000332025121,Newsprint,Kap Paper Newsprint,48.8 ,343.00 mm,M345L30021G,1,187,187,$599.31,$112.07,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/31/26,,,OVOL USA,06300033202621,Newsprint,Kap Paper Newsprint,42.5 ,343.00 mm,M346C24201D,1,193,193,$699.86,$135.07,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/31/26,,,OVOL USA,06300033202621,Newsprint,Kap Paper Newsprint,42.5 ,343.00 mm,M346C24193E,1,194,194,$699.86,$135.77,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/31/26,,,OVOL USA,06300033202621,Newsprint,Kap Paper Newsprint,42.5 ,343.00 mm,M346C24193D,1,195,195,$699.86,$136.47,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/31/26,,,OVOL USA,06300033202621,Newsprint,Kap Paper Newsprint,42.5 ,343.00 mm,M346C23153D,1,192,192,$699.86,$134.37,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/31/26,,,OVOL USA,06300033202621,Newsprint,Kap Paper Newsprint,42.5 ,343.00 mm,M346C23151D,1,196,196,$699.86,$137.17,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/31/26,,,OVOL USA,06300033202621,Newsprint,Kap Paper Newsprint,42.5 ,343.00 mm,M346C23142D,1,196,196,$699.86,$137.17,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,2/19/23,,,OVOL USA,06300044202322,Hi-Brite,Centennial Offset,51.8 ,343.00 mm,IEP53B0904372,1,233,233,"$1,115.00",$259.80,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,2/19/23,,,OVOL USA,06300044202322,Hi-Brite,Centennial Offset,51.8 ,343.00 mm,IEP53B0904366,1,234,234,"$1,115.00",$260.91,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,2/19/23,,,OVOL USA,06300044202322,Hi-Brite,Centennial Offset,51.8 ,343.00 mm,IEP53B0904349,1,233,233,"$1,115.00",$259.80,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,2/19/23,,,OVOL USA,06300044202322,Hi-Brite,Centennial Offset,51.8 ,343.00 mm,IEP53B0904343,1,233,233,"$1,115.00",$259.80,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,2/19/23,,,OVOL USA,06300044202322,Hi-Brite,Centennial Offset,51.8 ,343.00 mm,IEP53B0904211,1,240,240,"$1,115.00",$267.60,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,11/19/25,,,OVOL USA,MANUAL1173870-00,Hi-Brite,Inland Brite 92,74 ,343.00 mm,BC635L18211C,1,349,349,"$1,435.95",$501.15,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,11/19/25,,,OVOL USA,MANUAL1173870-00,Hi-Brite,Inland Brite 92,74 ,343.00 mm,BC635L18211B,1,349,349,"$1,435.95",$501.15,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,11/19/25,,,OVOL USA,MANUAL1173870-00,Hi-Brite,Inland Brite 92,74 ,343.00 mm,BC635L18201C,1,344,344,"$1,435.95",$493.97,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,11/19/25,,,OVOL USA,MANUAL1173870-00,Hi-Brite,Inland Brite 92,74 ,343.00 mm,BC635L18201B,1,344,344,"$1,435.95",$493.97,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/23/26,3/27/26,MN20260309,OVOL USA,531016777,Newsprint,Inland Newsprint,43 ,343.00 mm,IEP56C0813126,1,216,216,$725.00,$156.60,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/23/26,3/27/26,MN20260309,OVOL USA,531016777,Newsprint,Inland Newsprint,43 ,343.00 mm,IEP56C0812726,1,216,216,$725.00,$156.60,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/23/26,3/27/26,MN20260309,OVOL USA,531016777,Newsprint,Inland Newsprint,43 ,343.00 mm,IEP56C0812411,1,222,222,$725.00,$160.95,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/23/26,3/27/26,MN20260309,OVOL USA,531016777,Newsprint,Inland Newsprint,43 ,343.00 mm,IEP56C0812311,1,223,223,$725.00,$161.68,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/23/26,3/27/26,MN20260309,OVOL USA,531016777,Newsprint,Inland Newsprint,43 ,343.00 mm,IEP56C0812211,1,219,219,$725.00,$158.78,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/23/26,3/27/26,MN20260309,OVOL USA,531016777,Newsprint,Inland Newsprint,43 ,343.00 mm,IEP56C0812111,1,220,220,$725.00,$159.50,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,343.00 mm,IEP56E0301535,1,202,202,$759.73,$153.47,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,343.00 mm,IEP56E0221658,1,203,203,$759.73,$154.23,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,343.00 mm,IEP56E0221558,1,203,203,$759.73,$154.23,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,343.00 mm,IEP56E0221458,1,202,202,$759.73,$153.47,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,343.00 mm,IEP56E0221358,1,202,202,$759.73,$153.47,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,343.00 mm,IEP56E0221258,1,202,202,$759.73,$153.47,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,343.00 mm,IEP56E0221153,1,202,202,$759.73,$153.47,$0.00,$0.00
Quantity Subtotals: ,,,,,,,,,,,,,36,"7,989","7,989",,"$7,062.25",,$0.00
,,,,,,,,,,,,,,,,,,,
Supplier,Ogden Newspapers,Madelia,12/30/25,,,OVOL USA,063000332025121,Newsprint,Kap Paper Newsprint,45 ,381.00 mm,M345M13072G,1,220,220,$639.76,$140.75,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,12/30/25,,,OVOL USA,063000332025121,Newsprint,Kap Paper Newsprint,45 ,381.00 mm,M345M13034G,1,220,220,$639.76,$140.75,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/31/26,,,OVOL USA,06300033202621,Newsprint,Kap Paper Newsprint,45 ,381.00 mm,M346C23091B,1,220,220,$667.87,$146.93,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/31/26,,,OVOL USA,06300033202621,Newsprint,Kap Paper Newsprint,45 ,381.00 mm,M346C23063F,1,219,219,$667.87,$146.26,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/31/26,,,OVOL USA,06300033202621,Newsprint,Kap Paper Newsprint,45 ,381.00 mm,M346C23063C,1,221,221,$667.87,$147.60,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/31/26,,,OVOL USA,06300033202621,Newsprint,Kap Paper Newsprint,45 ,381.00 mm,M346C23063B,1,222,222,$667.87,$148.27,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/23/26,3/27/26,MN20260309,OVOL USA,531016777,Newsprint,Inland Newsprint,43 ,381.00 mm,IEP56C1620216,1,233,233,$725.00,$168.93,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/23/26,3/27/26,MN20260309,OVOL USA,531016777,Newsprint,Inland Newsprint,43 ,381.00 mm,IEP56C1620116,1,234,234,$725.00,$169.65,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/23/26,3/27/26,MN20260309,OVOL USA,531016777,Newsprint,Inland Newsprint,43 ,381.00 mm,IEP56C1619616,1,235,235,$725.00,$170.38,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/23/26,3/27/26,MN20260309,OVOL USA,531016777,Newsprint,Inland Newsprint,43 ,381.00 mm,IEP56C1619216,1,235,235,$725.00,$170.38,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/23/26,3/27/26,MN20260309,OVOL USA,531016777,Newsprint,Inland Newsprint,43 ,381.00 mm,IEP56C1618116,1,239,239,$725.00,$173.28,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/23/26,3/27/26,MN20260309,OVOL USA,531016777,Newsprint,Inland Newsprint,43 ,381.00 mm,IEP56C1617816,1,239,239,$725.00,$173.28,$0.00,$0.00
Quantity Subtotals: ,,,,,,,,,,,,,12,"2,737","2,737",,"$1,896.46",,$0.00
,,,,,,,,,,,,,,,,,,,
Supplier,Ogden Newspapers,Madelia,3/23/26,3/27/26,MN20260309,OVOL USA,531016777,Newsprint,Inland Newsprint,43 ,406.00 mm,IEP56C0812692,1,262,262,$725.00,$189.95,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/23/26,3/27/26,MN20260309,OVOL USA,531016777,Newsprint,Inland Newsprint,43 ,406.00 mm,IEP56C0812684,1,263,263,$725.00,$190.68,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/23/26,3/27/26,MN20260309,OVOL USA,531016777,Newsprint,Inland Newsprint,43 ,406.00 mm,IEP56C0812592,1,263,263,$725.00,$190.68,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/23/26,3/27/26,MN20260309,OVOL USA,531016777,Newsprint,Inland Newsprint,43 ,406.00 mm,IEP56C0812584,1,263,263,$725.00,$190.68,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/23/26,3/27/26,MN20260309,OVOL USA,531016777,Newsprint,Inland Newsprint,43 ,406.00 mm,IEP56C0812492,1,263,263,$725.00,$190.68,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/23/26,3/27/26,MN20260309,OVOL USA,531016777,Newsprint,Inland Newsprint,43 ,406.00 mm,IEP56C0812484,1,263,263,$725.00,$190.68,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/23/26,3/27/26,MN20260309,OVOL USA,531016777,Newsprint,Inland Newsprint,43 ,406.00 mm,IEP56C0812292,1,260,260,$725.00,$188.50,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/23/26,3/27/26,MN20260309,OVOL USA,531016777,Newsprint,Inland Newsprint,43 ,406.00 mm,IEP56C0812284,1,260,260,$725.00,$188.50,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/23/26,3/27/26,MN20260309,OVOL USA,531016777,Newsprint,Inland Newsprint,43 ,406.00 mm,IEP56C0812192,1,258,258,$725.00,$187.05,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/23/26,3/27/26,MN20260309,OVOL USA,531016777,Newsprint,Inland Newsprint,43 ,406.00 mm,IEP56C0812184,1,258,258,$725.00,$187.05,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,406.00 mm,IEP56E0222639,1,242,242,$759.73,$183.85,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,406.00 mm,IEP56E0221692,1,238,238,$759.73,$180.82,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,406.00 mm,IEP56E0221685,1,238,238,$759.73,$180.82,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,406.00 mm,IEP56E0221192,1,235,235,$759.73,$178.54,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,406.00 mm,IEP56E0221185,1,235,235,$759.73,$178.54,$0.00,$0.00
