Inventory Report,,,,,,,,,,,,,,,,,Date:  6/5/26  10:15 AM EST   ,,
Inventory Date:  ,,1/1/00 to 5/31/26,,,,,,,,,,,,,,,,,
Account:  ,,Gould,,,,,,,,,,,,,,,,,
Plant:  ,,Webster City,,,,,,,,,,,,,,,,,
Paper Type:  ,,Rolls - All Paper Types,,,,,,,,,,,,,,,,,
Supplier:  ,,All Suppliers,,,,,,,,,,,,,,,,,
Definitions:  ,,Available: Not assigned;  Applied: Assigned but not consumed;  Rejected: Rejected but in plant;  WIP: Work In Process,,,,,,,,,,,,,,,,,
Sorted by:  ,,Printer and Stock Size,,,,,,,,,,,,,,,,,
Ownership,Printer,Plant,Received Date,Issue Date,End User PO#,Supplier,PO Number,Paper Type,Product Name,Grammage (g/m²),Roll Width,Roll ID,Roll Count,Available Quantity,Total Quantity,Price/mt,Cost,Net Price/mt,Net Cost
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18061B,1,139,139,$640.10,$88.97,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18053C,1,141,141,$640.10,$90.25,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18053B,1,142,142,$640.10,$90.89,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18052C,1,140,140,$640.10,$89.61,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18052B,1,141,141,$640.10,$90.25,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18051C,1,140,140,$640.10,$89.61,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18051B,1,141,141,$640.10,$90.25,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18042C,1,139,139,$640.10,$88.97,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18042B,1,139,139,$640.10,$88.97,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18041C,1,140,140,$640.10,$89.61,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18041B,1,141,141,$640.10,$90.25,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18033C,1,142,142,$640.10,$90.89,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18033B,1,142,142,$640.10,$90.89,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18032C,1,141,141,$640.10,$90.25,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18032B,1,141,141,$640.10,$90.25,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18031C,1,141,141,$640.10,$90.25,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18031B,1,142,142,$640.10,$90.89,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18023C,1,142,142,$640.10,$90.89,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18023B,1,143,143,$640.10,$91.53,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18022C,1,142,142,$640.10,$90.89,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18022B,1,142,142,$640.10,$90.89,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18013C,1,143,143,$640.10,$91.53,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18013B,1,143,143,$640.10,$91.53,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18012C,1,142,142,$640.10,$90.89,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18012B,1,143,143,$640.10,$91.53,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18011C,1,141,141,$640.10,$90.25,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18011B,1,141,141,$640.10,$90.25,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17272C,1,142,142,$640.10,$90.89,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17272B,1,142,142,$640.10,$90.89,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17271C,1,142,142,$640.10,$90.89,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17271B,1,142,142,$640.10,$90.89,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17261C,1,142,142,$640.10,$90.89,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17261B,1,143,143,$640.10,$91.53,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17253C,1,143,143,$640.10,$91.53,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17253B,1,144,144,$640.10,$92.17,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17252C,1,142,142,$640.10,$90.89,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17252B,1,142,142,$640.10,$90.89,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17251C,1,142,142,$640.10,$90.89,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17251B,1,142,142,$640.10,$90.89,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17243C,1,142,142,$640.10,$90.89,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17243B,1,142,142,$640.10,$90.89,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17242C,1,142,142,$640.10,$90.89,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17242B,1,142,142,$640.10,$90.89,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17241C,1,140,140,$640.10,$89.61,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17241B,1,141,141,$640.10,$90.25,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17233C,1,141,141,$640.10,$90.25,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17233B,1,142,142,$640.10,$90.89,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17232C,1,140,140,$640.10,$89.61,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17232B,1,141,141,$640.10,$90.25,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17231C,1,140,140,$640.10,$89.61,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17231B,1,141,141,$640.10,$90.25,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17223C,1,142,142,$640.10,$90.89,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17223B,1,142,142,$640.10,$90.89,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17222C,1,140,140,$640.10,$89.61,$0.00,$0.00
