Inventory Report,,,,,,,,,,,,,,,,Date:  6/4/26  5:10 PM EST   ,,
Inventory Date:  ,,4/30/26,,,,,,,,,,,,,,,,
Account:  ,,Gould,,,,,,,,,,,,,,,,
Plant:  ,,All Locations,,,,,,,,,,,,,,,,
Paper Type:  ,,Rolls - All Paper Types,,,,,,,,,,,,,,,,
Supplier:  ,,#ALL# / OVOL USA,,,,,,,,,,,,,,,,
Definitions:  ,,Available: Not assigned;  Applied: Assigned but not consumed;  Rejected: Rejected but in plant;  WIP: Work In Process,,,,,,,,,,,,,,,,
Sorted by:  ,,Printer,,,,,,,,,,,,,,,,
Ownership,Printer,Plant,Received Date,Issue Date,End User PO#,Supplier,PO Number,Paper Type,Product Name,Grammage (g/m²),Roll Width,Roll Count,Available Quantity,Total Quantity,Price/mt,Cost,Net Price/mt,Net Cost
Supplier,Ogden Newspapers,St. James,1/23/26,,,OVOL USA,06300093202611,Hi-Brite,KruBrite 80 Offset,51.8 ,432.00 mm,20,"5,384","5,384",$990.91,"$5,335.06",$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,11/18/25,,,OVOL USA,0630THUN2025112,Newsprint,Thunder Bay Newsprint,45 ,432.00 mm,0,"1,515","1,515",$631.32,$956.45,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,10/9/24,,,OVOL USA,063000932024101,Hi-Brite,KruBrite 80 Offset,51.8 ,445.00 mm,2,533,533,$990.91,$528.16,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,10/27/25,,,OVOL USA,0630THUN2025102,Newsprint,Thunder Bay Newsprint,45 ,445.00 mm,4,930,930,$614.55,$571.53,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,11/18/25,,,OVOL USA,0630THUN2025112,Newsprint,Thunder Bay Newsprint,45 ,445.00 mm,2,459,459,$631.32,$289.78,$0.00,$0.00
Supplier,Ogden Newspapers,St. James,12/30/25,,,OVOL USA,063000332025122,Newsprint,Kap Paper Newsprint,42.5 ,533.00 mm,2,"7,408","7,408",$670.40,"$4,966.32",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,1/29/26,,,OVOL USA,06300033202613,Newsprint,Kap Paper Newsprint,42.5 ,533.00 mm,10,"19,883","19,883",$670.76,"$13,336.72",$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/31/26,,,OVOL USA,06300033202621,Newsprint,Kap Paper Newsprint,42.5 ,533.00 mm,0,"6,653","6,653",$699.86,"$4,656.17",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,12/30/25,,,OVOL USA,063000332025122,Newsprint,Kap Paper Newsprint,42.5 ,584.00 mm,0,"1,311","1,311",$670.40,$878.89,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/31/26,,,OVOL USA,06300033202621,Newsprint,Kap Paper Newsprint,42.5 ,584.00 mm,0,"5,279","5,279",$699.86,"$3,694.56",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,3/6/26,,,OVOL USA,06300033202622,Newsprint,Kap Paper Newsprint,42.5 ,584.00 mm,12,"19,412","19,412",$699.86,"$13,585.68",$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,7/22/25,,,OVOL USA,06300033202573,Newsprint,Kap Paper Newsprint,42.5 ,610.00 mm,0,641,641,$643.85,$412.71,$0.00,$0.00
Supplier,Ogden Newspapers,St. James,8/20/25,,,OVOL USA,06300033202583,Newsprint,Kap Paper Newsprint,42.5 ,610.00 mm,20,"10,328","10,328",$644.39,"$6,655.26",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,11/19/25,,,OVOL USA,063000932025111,Hi-Brite,KruBrite 80 Offset,51.8 ,610.00 mm,6,"2,114","2,114",$990.91,"$2,094.78",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,2/7/18,,,OVOL USA,063000022018023,Hi-Brite,Star Brite 80,51.8 ,635.00 mm,1,379,379,$802.17,$304.02,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/23/25,,,OVOL USA,06300033202534,Newsprint,Kap Paper Newsprint,42.5 ,635.00 mm,0,"1,068","1,068",$643.58,$687.34,$0.00,$0.00
Supplier,Ogden Newspapers,St. James,7/22/25,,,OVOL USA,06300033202573,Newsprint,Kap Paper Newsprint,42.5 ,635.00 mm,4,"3,292","3,292",$643.85,"$2,119.55",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,8/20/25,,,OVOL USA,06300033202583,Newsprint,Kap Paper Newsprint,42.5 ,635.00 mm,27,"9,651","9,651",$644.39,"$6,219.01",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,12/30/25,,,OVOL USA,063000332025122,Newsprint,Kap Paper Newsprint,48.8 ,686.00 mm,20,"18,698","18,698",$599.31,"$11,205.90",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,12/30/25,,,OVOL USA,063000332025122,Newsprint,Kap Paper Newsprint,42.5 ,686.00 mm,16,"20,161","20,161",$670.40,"$13,515.93",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,7/22/25,,,OVOL USA,06300033202573,Newsprint,Kap Paper Newsprint,42.5 ,686.00 mm,3,"1,163","1,163",$643.85,$748.80,$0.00,$0.00
Supplier,Ogden Newspapers,St. James,8/20/25,,,OVOL USA,06300033202583,Newsprint,Kap Paper Newsprint,42.5 ,686.00 mm,2,777,777,$644.39,$500.69,$0.00,$0.00
Supplier,Ogden Newspapers,St. James,9/16/25,,,OVOL USA,06300033202593,Newsprint,Kap Paper Newsprint,42.5 ,686.00 mm,6,"4,268","4,268",$644.10,"$2,749.02",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,10/24/24,,,OVOL USA,063000932024111,Hi-Brite,KruBrite 80 Offset,51.8 ,686.00 mm,15,"6,371","6,371",$990.91,"$6,313.09",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,12/2/24,,,OVOL USA,063000932024121,Hi-Brite,KruBrite 80 Offset,51.8 ,686.00 mm,17,"8,380","8,380",$990.91,"$8,303.83",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,12/2/25,,,OVOL USA,063000932025103,Newsprint,Kruger Newsprint,48.8 ,686.00 mm,0,353,353,$575.69,$203.22,$0.00,$0.00
Supplier,Ogden Newspapers,St. James,4/22/25,,,OVOL USA,06300093202551,Hi-Brite,KruBrite 80 Offset,51.8 ,686.00 mm,0,"2,396","2,396",$990.91,"$2,374.22",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,11/19/25,,,OVOL USA,063000932025111,Hi-Brite,KruBrite 80 Offset,51.8 ,737.00 mm,4,"2,591","2,591",$990.91,"$2,567.45",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,12/30/25,,,OVOL USA,063000332025122,Newsprint,Kap Paper Newsprint,45 ,762.00 mm,12,"15,327","15,327",$639.76,"$9,805.60",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,12/30/25,,,OVOL USA,063000332025122,Newsprint,Kap Paper Newsprint,42.5 ,762.00 mm,47,"19,741","19,741",$670.40,"$13,234.37",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,1/29/26,,,OVOL USA,06300033202613,Newsprint,Kap Paper Newsprint,45 ,762.00 mm,34,"18,633","18,633",$640.10,"$11,926.98",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,3/6/26,,,OVOL USA,06300033202622,Newsprint,Kap Paper Newsprint,45 ,762.00 mm,1,"9,730","9,730",$667.87,"$6,498.38",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,11/18/25,,,OVOL USA,0630THUN2025112,Newsprint,Thunder Bay Newsprint,45 ,762.00 mm,1,"5,243","5,243",$631.32,"$3,310.01",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,2/22/24,,,OVOL USA,06300093202431,Hi-Brite,KruBrite 80 Offset,51.8 ,775.00 mm,3,"2,877","2,877",$990.91,"$2,850.85",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,8/30/24,,,OVOL USA,06300093202491,Hi-Brite,KruBrite 80 Offset,51.8 ,775.00 mm,3,"1,349","1,349",$990.91,"$1,336.74",$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,7/22/25,,,OVOL USA,06300033202573,Newsprint,Kap Paper Newsprint,42.5 ,813.00 mm,8,"6,789","6,789",$643.85,"$4,371.10",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,8/20/25,,,OVOL USA,06300033202583,Newsprint,Kap Paper Newsprint,42.5 ,813.00 mm,0,438,438,$644.39,$282.24,$0.00,$0.00
Supplier,Ogden Newspapers,St. James,9/16/25,,,OVOL USA,06300033202593,Newsprint,Kap Paper Newsprint,42.5 ,813.00 mm,0,468,468,$644.10,$301.44,$0.00,$0.00
Supplier,Ogden Newspapers,St. James,1/29/26,,,OVOL USA,06300033202613,Newsprint,Kap Paper Newsprint,42.5 ,813.00 mm,12,"17,725","17,725",$670.76,"$11,889.22",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,3/6/26,,,OVOL USA,06300033202622,Newsprint,Kap Paper Newsprint,42.5 ,813.00 mm,19,"20,007","20,007",$699.86,"$14,002.10",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,12/2/25,,,OVOL USA,063000932025103,Newsprint,Kruger Newsprint,42.5 ,813.00 mm,0,"2,992","2,992",$643.99,"$1,926.82",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,11/19/25,,,OVOL USA,063000932025111,Hi-Brite,KruBrite 80 Offset,51.8 ,813.00 mm,10,"4,725","4,725",$990.91,"$4,682.05",$0.00,$0.00
